"rep","N","p","conv_ok"
82,100,6.34511645033046e-10,TRUE
83,15,0.232687915512622,FALSE
83,20,0.23285323114854,FALSE
83,30,0.16699570752089,TRUE
83,40,0.012663620524132,FALSE
83,50,0.10465153154313,TRUE
83,60,0.00650134604973992,TRUE
83,80,0.000223210569155225,TRUE
83,100,0.000936541185812712,TRUE
84,15,0.0452956282621431,TRUE
84,20,0.107593078480558,TRUE
84,30,0.553088140016183,FALSE
84,40,0.0594943354571699,TRUE
84,50,0.000169939025475231,TRUE
84,60,0.00361880535567098,TRUE
84,80,0.00212195792777441,FALSE
84,100,0.00049534345188754,TRUE
85,15,0.0288436194119389,TRUE
85,20,0.271278646639687,TRUE
85,30,0.0255336775093532,TRUE
85,40,0.0053143208581912,TRUE
85,50,0.00624587514160768,TRUE
85,60,0.0117357706987638,TRUE
85,80,0.00337188528419581,TRUE
85,100,0.000144988933677357,TRUE
86,15,0.120651280975147,TRUE
86,20,0.282201461111604,TRUE
86,30,0.00166633694659457,TRUE
86,40,4.67532380119354e-05,TRUE
86,50,4.77635171868067e-05,TRUE
86,60,4.6567752895777e-06,FALSE
86,80,1.26462558562053e-08,TRUE
86,100,5.97830774636192e-10,TRUE
87,15,0.0205741438219202,TRUE
87,20,0.00132427625377566,TRUE
87,30,0.00204791218956733,TRUE
87,40,0.00187029182433434,TRUE
87,50,0.123897791312496,TRUE
87,60,4.05350579014532e-06,TRUE
87,80,2.10091938726488e-06,TRUE
87,100,3.06748279081945e-06,TRUE
88,15,0.371568709088064,TRUE
88,20,0.0611495907858265,TRUE
88,30,0.000303935812400274,TRUE
88,40,0.00555011836323435,TRUE
88,50,0.000475629289546178,TRUE
88,60,0.00161831511000261,TRUE
88,80,4.18273910420333e-06,TRUE
88,100,4.88815954503538e-06,TRUE
89,15,0.0163608811677055,TRUE
89,20,0.235329052895827,FALSE
89,30,0.0516317625295619,TRUE
89,40,0.00449201994586193,TRUE
89,50,0.0120647536416881,TRUE
89,60,1.88391644733766e-05,TRUE
89,80,7.32020993216121e-06,TRUE
89,100,8.03729245539249e-07,TRUE
90,15,0.000453923203059135,TRUE
90,20,0.000153746704518792,TRUE
90,30,0.000142610801841279,TRUE
90,40,0.000784027385696757,TRUE
90,50,3.64486422259096e-07,TRUE
90,60,1.12573934065696e-05,TRUE
90,80,8.95969150961264e-08,TRUE
90,100,3.23362797652791e-08,TRUE
91,15,0.649923291997379,TRUE
91,20,0.0704711521899704,TRUE
91,30,0.0549460462922873,TRUE
91,40,0.0215794368457857,TRUE
91,50,0.00117621854023606,TRUE
91,60,0.000234816764261813,TRUE
91,80,4.51338988109311e-05,TRUE
91,100,0.000534476145566883,TRUE
92,15,0.0180269595763653,TRUE
92,20,0.0225633823544312,TRUE
92,30,0.000204533664048942,TRUE
92,40,0.0026671764215807,TRUE
92,50,0.000427264994608595,TRUE
92,60,4.6296334548919e-05,TRUE
92,80,1.47448722806993e-06,TRUE
92,100,2.12305888854753e-07,TRUE
93,15,0.0814975350284825,TRUE
93,20,0.00306420369134807,TRUE
93,30,0.00547497150597524,TRUE
93,40,0.00088579773348949,TRUE
93,50,0.000217413412583754,TRUE
93,60,7.54113615077536e-05,TRUE
93,80,1.29245038584488e-06,TRUE
93,100,1.21495856691257e-06,TRUE
94,15,0.0685819388211865,TRUE
94,20,0.0120508383947974,TRUE
94,30,0.0109849553924386,TRUE
94,40,1.3001769636974e-05,TRUE
94,50,0.000118952721135048,TRUE
94,60,2.13943323178126e-07,TRUE
94,80,3.40055784197939e-08,TRUE
94,100,2.54784863131073e-10,FALSE
95,15,0.0206337644107592,TRUE
